Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45)
7.879693716451303e-18,0.05497191311922635,2.0460959547929214e-15,0.938,0.0,0.0,0.035216607481698,0.00999999999999984,0.049999999999793085,3.650151200292987e-90,6.2968403246621955e-90,0.0019999999999894442,1.2903991940601505e-140,6.008329082961915e-115,2.0692643005772228e-13,3.7249355695625226e-69,3.2079767470889907e-16,6.842312145110525e-46,2.988052277362445e-18,8.512949574718711e-15,2.0431079025155585e-15,6.359506793396995e-32,3.923831502696348e-133,1.7556580034455172e-96,8.763280419690241e-66,3.8096970072190193e-82
1.2382375844397774e-17,0.05497191311922635,3.215293644336666e-15,0.938,0.0,0.0,0.03521660748157237,0.009999999999999749,0.04999999999967484,5.078695198120449e-90,1.2109864761637546e-88,0.001999999999983412,2.040083196096217e-138,3.660468491276493e-113,3.2517008971104763e-13,3.960642668399844e-68,5.041106318570697e-16,2.6458191062138405e-45,4.695510723162947e-18,1.3377492176800859e-14,3.2105981336135025e-15,1.5515303624770172e-31,3.1457693695757494e-131,5.5500713865116534e-95,9.309422895715323e-65,5.1351010637246465e-82
1.6885057972344245e-17,0.05497191311922635,4.384491333868956e-15,0.938,0.0,0.0,0.03521660748144674,0.009999999999999657,0.049999999999556594,2.090327140023281e-88,6.370689392831084e-88,0.00199999999997738,2.1192863958512725e-137,2.7788392069116116e-112,4.43413738468214e-13,1.6724392630311923e-67,6.874235890039304e-16,6.56627413850021e-45,6.402969168947196e-18,1.824203476660949e-14,4.378088364700007e-15,2.874268091415952e-31,2.8714745969654767e-130,3.548637745511013e-94,3.929095850049684e-64,2.188362669485203e-80
2.5890422228237188e-17,0.05497191311922635,6.722886712899172e-15,0.938,0.0,0.0,0.03521660748119548,0.009999999999999473,0.0499999999993201,2.961181981564915e-88,9.632409891589384e-87,0.001999999999965316,2.8675516313562883e-135,1.2164964648864312e-110,6.799010033039262e-13,1.5378297837834774e-66,1.054049503293723e-15,2.3848875948182653e-44,9.817886060466931e-18,2.7971119909417286e-14,6.713068826838703e-15,6.7408615367822e-31,2.2062429873269808e-128,9.127556884857936e-93,3.6070318515321434e-63,2.905117900763843e-80
4.3901150740023074e-17,0.05497191311922635,1.139967747082217e-14,0.938,0.0,0.0,0.03521660748069296,0.009999999999999107,0.04999999999884712,4.37237746752934e-86,2.902218421918942e-85,0.0019999999999411877,7.841324432115602e-133,1.2451310128001378e-108,1.1528754022630904e-12,2.4343502471223276e-65,1.7873013318575937e-15,1.1917784139311587e-43,1.6647719843311326e-17,4.7429290047797525e-14,1.1383029750978853e-14,1.9358515683547824e-30,3.032838842723521e-126,4.759741133415391e-91,5.688713378895228e-62,4.1625533295799574e-78
7.992260776359484e-17,0.05497191311922635,2.0753258986118434e-14,0.938,0.0,0.0,0.035216607479687925,0.009999999999998373,0.049999999997901154,6.649805261574518e-86,1.2696363871303968e-83,0.0019999999998929316,4.8834042277338e-130,1.9848032456097943e-106,2.0988236773418915e-12,5.398454562181063e-64,3.2538049889224776e-15,7.388111751936378e-43,3.0307387408219524e-17,8.63456297356269e-14,2.0722951598710188e-14,6.413197098445863e-30,9.467822091815958e-124,3.8103666928953225e-89,1.2520381205127692e-60,5.087480507736538e-78
1.5196552181073838e-16,0.05497191311922635,3.9460422014511995e-14,0.938,0.0,0.0,0.035216607477677846,0.009999999999996907,0.04999999999600924,1.5615236567227984e-85,6.76182607087186e-82,0.001999999999796419,3.660588327623034e-127,4.0210737795017614e-104,3.990718136147527e-12,1.4452134506591421e-62,6.18681230280082e-15,5.176958423396265e-42,5.762672253491095e-17,1.64178306755566e-13,3.9402795291977e-14,2.318362920498303e-29,3.549717852741468e-121,3.8662020245907857e-87,3.30191243106428e-59,8.96724398137855e-78
2.960513499050255e-16,0.05497191311922635,7.68747480625033e-14,0.938,0.0,0.0,0.03521660747365771,0.009999999999993974,0.0499999999922254,3.0557845687993126e-85,4.028428969999774e-80,0.001999999999603394,3.2675726838265406e-124,9.335941524693111e-102,7.774498688377185e-12,4.316039491725569e-61,1.2052826929551828e-14,3.871489662481509e-41,1.122653927757738e-16,3.198436513725763e-13,7.676248266972712e-14,8.79914013441783e-29,1.584718151650622e-118,4.4916832434815986e-85,9.575666216059715e-58,1.065157246376546e-77
5.842230060935997e-16,0.05497191311922635,1.5170340012330206e-13,0.938,0.0,0.0,0.035216607465617465,0.009999999999988107,0.04999999998465777,7.154290100553697e-85,2.591073685150757e-78,0.001999999999217344,3.2542732189239068e-121,2.37046169082507e-99,1.5342026331452883e-11,1.3902248462508646e-59,2.3784856179031317e-14,2.993876808183791e-40,2.2154273320725719e-16,6.311743029151363e-13,1.5148185739009267e-13,3.4270637730167016e-28,7.892464802559688e-116,5.704950038894158e-83,2.9156783690254853e-56,1.447471815428674e-77
8.723946622821738e-16,0.05497191311922635,2.2653205213718834e-13,0.938,0.0,0.0,0.03521660745757726,0.00999999999998224,0.049999999977090176,1.054914304806779e-80,1.809584706372426e-77,0.001999999998831294,4.2851391130510244e-120,2.3433557686951785e-98,2.2909509359531603e-11,8.016479760709823e-59,3.551688542314765e-14,9.421868405334194e-40,3.308200735715388e-16,9.425049042024235e-13,2.2620123206361103e-13,7.6426213178737745e-28,9.352004022005848e-115,4.903462310025332e-82,1.6425254186924478e-55,3.5483750566877134e-73
