Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52)
7.843348635552914e-17,0.054700809901540644,2.0314962416280758e-14,0.938,0.0,0.0,0.03504293086812394,0.00999999999999845,0.04999999999794534,3.0638464355684318e-86,6.794647220248211e-84,0.001999999999895186,1.899734862959e-130,9.231388518819413e-107,2.0546331612357242e-12,3.608531855752894e-64,3.103242566450367e-15,5.454983526534117e-43,2.833098043003588e-17,8.45276292321893e-14,2.0286631435850704e-14,5.369979972989479e-30,3.879225604713685e-124,2.1540476199602116e-89,8.481444529170146e-61
1.4913409378119247e-16,0.054700809901540644,3.862704121278076e-14,0.938,0.0,0.0,0.035042930866156265,0.009999999999997051,0.04999999999609325,5.4003663881393456e-86,3.6182771037838455e-82,0.0019999999998007055,1.4238753812602509e-127,1.870000679553038e-104,3.906694073403178e-12,9.659239239691519e-63,5.900531640363037e-15,3.822394462247191e-42,5.386876560475424e-17,1.6072154553534713e-13,3.8573172447175924e-14,1.941245099212368e-29,1.4542515229820819e-121,2.185360658488857e-87,2.236758066081319e-59
2.9053530863251913e-16,0.054700809901540644,7.525119879729681e-14,0.938,0.0,0.0,0.03504293086222092,0.009999999999994253,0.049999999992389084,6.414723705037665e-86,2.1551547112946372e-80,0.0019999999996117446,1.270727053650543e-124,4.340727639468532e-102,7.610807981892339e-12,2.8840342783651598e-61,1.1495109787244846e-14,2.8585158839566437e-41,1.0494433594269294e-16,3.131093695737924e-13,7.514625446135373e-14,7.367852636071275e-29,6.490880371198482e-119,2.5383539909889715e-85,6.486715276738836e-58
5.733377383351724e-16,0.054700809901540644,1.484995139323926e-13,0.938,0.0,0.0,0.035042930854350264,0.009999999999988659,0.049999999984980795,8.717119605560863e-86,1.385633032955477e-78,0.001999999999233823,1.2650538314316278e-121,1.1016983704917254e-99,1.501900413561848e-11,9.285907981164395e-60,2.2684266077234512e-14,2.2105471976774957e-40,2.0709547657242829e-16,6.178849833792107e-13,1.4829241845581827e-13,2.8696331249956725e-28,3.231410402396145e-116,3.222700314868432e-83,1.975150543833075e-56
8.561401680378258e-16,0.054700809901540644,2.217478290222395e-13,0.938,0.0,0.0,0.03504293084647965,0.009999999999983064,0.04999999997757254,2.137037256716959e-81,9.675824370011832e-78,0.0019999999988559013,1.6656959535771677e-120,1.0889915871426104e-98,2.2427158071840825e-11,5.353690453663258e-59,3.387342236219244e-14,6.956730481649358e-40,3.092466171404451e-16,9.226605514893403e-13,2.214385824050939e-13,6.399549844596834e-28,3.8287539062941434e-115,2.7696287136271685e-82,1.1126916114171753e-55
1.138942597740479e-15,0.054700809901540644,2.949961440668366e-13,0.938,0.0,0.0,0.03504293083860908,0.00999999999997747,0.04999999997016433,5.835816759382522e-81,4.1199282206967e-77,0.0019999999984779797,1.6600746820391233e-119,6.467377869132953e-98,2.9835269790789577e-11,1.9650630018348284e-58,4.506257864211893e-14,1.5803943411224676e-39,4.1139775764646978e-16,1.2274360739041893e-12,2.9458474630917954e-13,1.1327048302762406e-27,3.688434372479284e-114,1.4850174601084175e-81,3.999713165036075e-55
1.4217450274431322e-15,0.054700809901540644,3.682444590661831e-13,0.938,0.0,0.0,0.03504293083073855,0.009999999999971875,0.049999999962756156,1.015742564935454e-80,1.3379821554725467e-76,0.001999999998100058,1.1882245819358822e-118,2.882253662974406e-97,3.724333929270185e-11,5.60896628717043e-58,5.625173491701429e-14,3.007552362174343e-39,5.1354889809021955e-16,1.5322115506237657e-12,3.6773091016807416e-13,1.7652658764474687e-27,2.487006450497573e-113,6.04409925298892e-81,1.1184352798823389e-54
1.9873498868484386e-15,0.054700809901540644,5.147410889291212e-13,0.938,0.0,0.0,0.03504293081499761,0.009999999999960686,0.04999999994793994,1.4705765712921534e-80,8.785642849221189e-76,0.0019999999973442147,3.379094364390955e-117,3.5622678894459947e-96,5.205935164629491e-11,2.910476425538258e-57,7.863004745171273e-14,7.98015851477535e-39,7.178511787898451e-16,2.1417623669771285e-12,5.140232377502861e-13,3.450018195961329e-27,5.768584282712237e-112,6.179292815595186e-80,5.554262615244559e-54
2.552954746253745e-15,0.054700809901540644,6.612377186110472e-13,0.938,0.0,0.0,0.03504293079925684,0.009999999999949497,0.04999999993312389,1.5051858712718102e-80,3.493173335002479e-75,0.0019999999965883714,2.683098961616029e-116,2.009837329531453e-95,6.68751951345191e-11,9.855584344152736e-57,1.0100835996629024e-13,1.6675813913947152e-38,9.221534592370535e-16,2.751313000549487e-12,6.603155651517207e-13,5.694637261252618e-27,4.23923642191489e-111,3.052530529574712e-79,1.8144547736215196e-53
3.1185596056590515e-15,0.054700809901540644,8.077343481119539e-13,0.938,0.0,0.0,0.03504293078351625,0.009999999999938308,0.049999999918308,1.4978891085165644e-80,1.0810558931292207e-74,0.001999999995832529,1.5433694926684693e-115,8.322045713135466e-95,8.16908697593735e-11,2.6584679327768442e-56,1.2338667246074936e-13,3.0213779681001205e-38,1.1264557394294563e-15,3.3608634513409053e-12,8.066078923723686e-13,8.499570852724511e-27,2.2578861406139336e-110,1.1276693203223532e-78,4.727328038562299e-53
4.249769324469665e-15,0.054700809901540644,1.1007276065706825e-12,0.938,0.0,0.0,0.035042930752035566,0.00999999999991593,0.04999999988867676,1.2047156798904523e-80,8.600006672987004e-74,0.0019999999943208437,7.933687327782984e-114,1.667140515015311e-93,1.1132171242675195e-10,1.4471201371789125e-55,1.6814329738932243e-13,7.618112004686094e-38,1.5350602990405492e-15,4.579963804581162e-12,1.0991925462712683e-12,1.57921245245472e-26,6.014159235041623e-109,1.3814141492452626e-77,2.3036221234589816e-52
5.380979043280278e-15,0.054700809901540644,1.3937208643052532e-12,0.938,0.0,0.0,0.03504293072055555,0.009999999999893552,0.049999999859046185,7.162231533018923e-81,3.7533597302224845e-73,0.00199999999280916,7.479878498870036e-113,1.0947388241933805e-92,1.4095187966391408e-10,5.0793484173271595e-55,2.1289992223745196e-13,1.5457224244998803e-37,1.943664857604621e-15,5.799063426698377e-12,1.3917771994469128e-12,2.5331148061827832e-26,4.840527605160442e-108,7.442770933682707e-77,7.455715833183146e-52
7.643398480901504e-15,0.054700809901540644,1.9797073776017015e-12,0.938,0.0,0.0,0.03504293065759756,0.009999999999848797,0.04999999979978706,6.717870774792978e-82,4.0648951785167147e-72,0.0019999999897857934,4.53221352886416e-111,2.8468526191915527e-91,2.0021018790903588e-10,3.637421737597736e-54,3.0241317169245934e-13,4.432100124922667e-37,2.7608739715182747e-15,8.237260477565599e-12,1.9769465036281486e-12,5.1162371301921925e-26,1.7283269631539067e-106,1.204521523801566e-75,4.4663442878857155e-51
9.90581791852273e-15,0.054700809901540644,2.565693888000866e-12,0.938,0.0,0.0,0.03504293059464227,0.00999999999980404,0.04999999974053063,3.441545972356059e-80,2.042681609421069e-71,0.00199999998676243,4.914220937038352e-110,2.115943938832914e-90,2.5946579461789117e-10,1.4698014888849574e-53,3.9192642082593024e-13,9.655334321643402e-37,3.5780830810232506e-15,1.0675454603946414e-11,2.562115804915501e-12,8.602083198742844e-26,1.6327460940820809e-105,7.45031886679048e-75,1.603474462284101e-50
1.2168237356143955e-14,0.054700809901540644,3.151680395502313e-12,0.938,0.0,0.0,0.03504293053168969,0.009999999999759285,0.049999999681276906,8.280568787188484e-80,7.275152407776506e-71,0.00199999998373907,3.328870694170149e-109,1.0254725045454223e-89,3.1871869991360415e-10,4.445158573866615e-53,4.814396696380231e-13,1.7911627545396323e-36,4.3952921859724084e-15,1.3113645805844648e-11,3.1472851033083933e-12,1.2993411655325771e-25,1.0009226677077875e-104,3.1539449363282945e-74,4.396098597401184e-50
1.6693076231386407e-14,0.054700809901540644,4.3236534018103195e-12,0.938,0.0,0.0,0.035042930405792636,0.009999999999669771,0.04999999956277757,1.5380069224966986e-79,6.389628630432133e-70,0.0019999999776923573,1.4676672108594884e-107,1.9786589561460774e-88,4.372164067581649e-10,2.744200764085799e-52,6.604661662987093e-13,4.6324624105834885e-36,6.029710381614584e-15,1.7990019436208722e-11,4.317623691408491e-12,2.450355262036989e-25,2.767412315257771e-103,4.085382083376234e-73,2.180999093451666e-49
