Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(36)
1.3577361056914993e-17,0.048764219312884285,3.3157176897650845e-15,4.4728268663352925e-31,5.973271459593709e-15,3.681459786698516e-132,3.3186813797671656e-15,0.938,6.648532557107903e-69,2.6631447951507202e-15,5.010396690118915e-44,2.963690002080668e-18,1.381549021132687e-13,0.0,0.0,0.031239778156728227,0.009999999999998668,0.04999999999999403,5.5137992924208244e-80,1.9186728169597066e-88,0.0019999999998585294,1.8369477123148236e-139,1.7820402824545384e-91
1.846521104387858e-17,0.048764219312884285,4.509376060164146e-15,7.964780963939176e-31,8.123649182663136e-15,3.138545730738246e-131,4.513406678568384e-15,0.938,2.3804046972955623e-68,3.6218769226678765e-15,1.127835510840169e-43,4.030618404235119e-18,1.878906662764024e-13,0.0,0.0,0.031239778156672993,0.00999999999999819,0.04999999999999188,-6.360964381572635e-80,7.837807026286768e-88,0.0019999999998076,1.6541909938984208e-138,-1.6969575499273152e-91
2.3353061030842167e-17,0.048764219312884285,5.703034430823986e-15,1.2433137923691936e-30,1.027402690301746e-14,1.1148418269834385e-130,5.708131977630374e-15,0.938,6.290335844674175e-68,4.580609050181406e-15,2.131682980454129e-43,5.0975468063855264e-18,2.3762643009524635e-13,0.0,0.0,0.03123977815661776,0.00999999999999771,0.049999999999989726,1.0502576558600408e-78,2.435592699370621e-87,0.001999999999756671,6.974308872690007e-138,2.1319764488273152e-90
2.8240911017805757e-17,0.048764219312884285,6.896692801730157e-15,1.7823811436182763e-30,1.2424404620807083e-14,4.528088095027511e-130,6.9028572769386935e-15,0.938,1.425037172090267e-67,5.539341177691508e-15,3.563027957221595e-43,6.1644752085321105e-18,2.8736219358887215e-13,0.0,0.0,0.031239778156562526,0.009999999999997232,0.049999999999987575,2.2474390377514015e-78,6.14787928200344e-87,0.0019999999997057415,2.8743979847169654e-137,6.607347996677928e-90
3.8016610991732936e-17,0.048764219312884285,9.284009544104256e-15,3.070848645926488e-30,1.672516005053757e-14,5.489711370521755e-129,9.292307876117077e-15,0.938,4.980726476751253e-67,7.456805432703903e-15,7.606661001790429e-43,8.298332012816552e-18,3.868337198344696e-13,0.0,0.0,0.03123977815645206,0.009999999999996272,0.04999999999998327,2.9598276203791015e-78,2.4417495466788436e-86,0.0019999999996038824,3.5480979575621315e-136,1.6591278677497167e-89
4.7792310965660115e-17,0.048764219312884285,1.1671326287388897e-14,4.700242421539619e-30,2.1025915470787878e-14,2.578151003962329e-128,1.1681758476205997e-14,0.938,1.2971837982290194e-66,9.374269687703629e-15,1.3831891991588243e-42,1.0432188817086845e-17,4.863052448779283e-13,0.0,0.0,0.031239778156341592,0.009999999999995313,0.04999999999997897,4.819718919932439e-78,7.167602242764561e-86,0.0019999999995020234,1.8754854393880745e-135,3.131321304286629e-89
5.756801093958729e-17,0.048764219312884285,1.4058643031645843e-14,6.69368709045026e-30,2.5326670880914982e-14,1.0315188709611085e-127,1.40712090772672e-14,0.938,2.931741533308646e-66,1.1291733942689835e-14,2.2880657501389716e-42,1.256604562134201e-17,5.8577676863771e-13,0.0,0.0,0.031239778156231125,0.009999999999994354,0.04999999999997467,7.542458614350564e-78,1.8054676739164962e-85,0.001999999999400165,7.998232102782529e-135,5.532601065265073e-89
7.711941088744164e-17,0.048764219312884285,1.883327652313143e-14,1.1793245389658342e-29,3.392818167022915e-14,1.8990321591776635e-126,1.8850110282361265e-14,0.938,1.2636374493877274e-65,1.5126662452620915e-14,5.277847020671573e-42,1.683375922980602e-17,7.847198122339082e-13,0.0,0.0,0.031239778156010187,0.009999999999992437,0.049999999999966065,9.070002280278805e-78,1.0727843549862597e-84,0.0019999999991964475,2.3753841038008396e-133,1.1513476776700487e-88
9.6670810835296e-17,0.048764219312884285,2.3607910018566934e-14,1.837173964529233e-29,4.2529692418418534e-14,1.1427334338682948e-125,2.362901149140518e-14,0.938,3.715967973914995e-65,1.8961590962497054e-14,1.0138842678039705e-41,2.1101472838208364e-17,9.836628506152605e-13,0.0,0.0,0.03123977815578925,0.00999999999999052,0.04999999999995746,3.0577685834468635e-77,3.8409497445444707e-84,0.00199999999899273,1.679967436216551e-132,2.931754160382162e-88
1.357736107310047e-16,0.048764219312884285,3.3157177021295544e-14,3.5968504419622064e-29,5.97327137913409e-14,3.308255472537725e-124,3.318681392135047e-14,0.938,2.1403190197671012e-64,2.6631447982084417e-14,2.788736496219902e-41,2.963690005482725e-17,1.3815489117230238e-12,0.0,0.0,0.031239778155347373,0.009999999999986684,0.04999999999994025,3.8256094981036736e-77,3.3523112684468096e-83,0.0019999999985852944,8.132481405478746e-131,7.680710119513663e-88
2.139792105224221e-16,0.048764219312884285,5.2255711074184964e-14,8.892190739528888e-29,9.41387560433418e-14,2.591367863782982e-122,5.230241882867252e-14,0.938,2.3504481606641627e-63,4.197116202059945e-14,1.109696420510581e-40,4.670775448731725e-17,2.1773209713164755e-12,0.0,0.0,0.031239778154463625,0.009999999999979015,0.04999999999990583,4.424300393062458e-75,6.677063891032381e-82,0.0019999999977704237,1.2490211544537274e-128,9.253667245300891e-86
3.7039041010525694e-16,0.048764219312884285,9.045277936969977e-14,2.658718862304506e-28,1.6295083857189128e-13,5.2149805138026436e-120,9.053362883304994e-14,0.938,4.135018777053986e-62,7.265059009499062e-14,5.926099226311204e-40,8.084946334926948e-17,3.7688648400053545e-12,0.0,0.0,0.031239778152696126,0.009999999999963675,0.04999999999983698,5.405802289023692e-75,2.283006325663938e-80,0.001999999996140683,5.002114721911249e-126,3.369609222383714e-85
6.832128092709266e-16,0.048764219312884285,1.6684691671967555e-13,9.039529948594598e-28,3.0057499572714817e-13,1.2637126787310834e-117,1.6699604960074042e-13,0.938,9.633171013277408e-61,1.3400944623321771e-13,3.815802014681883e-39,1.4913288106077174e-16,6.9519515753870856e-12,0.0,0.0,0.03123977814916113,0.009999999999932997,0.049999999999699285,1.1353050903837573e-72,1.0531364017706599e-78,0.001999999992881202,2.4229584266631477e-123,9.43958352130396e-83
1.3088576076022657e-15,0.048764219312884285,3.196351944554111e-13,3.316900636836864e-27,5.758232784302209e-13,6.0582223149317635e-115,3.199208941718654e-13,0.938,2.6174416302184776e-59,2.56727158467453e-13,2.728697099135934e-38,2.8569971643183746e-16,1.3318121038159165e-11,0.0,0.0,0.031239778142091144,0.009999999999871638,0.0499999999994239,1.387267394274842e-72,5.699270501497016e-77,0.001999999986362244,2.320221308754503e-120,3.450503600044434e-82
2.5601472042649442e-15,0.048764219312884285,6.252117620699584e-13,1.2690404020023631e-26,1.1263197174065842e-12,2.697291555659686e-112,6.257705954570506e-13,0.938,7.708672756322244e-58,5.02162582767067e-13,2.0621630836782068e-37,5.588333869475771e-16,2.605044393175063e-11,0.0,0.0,0.031239778127951194,0.00999999999974892,0.04999999999887313,2.44774270674752e-72,3.3506649571825894e-75,0.001999999973324345,2.066253505686082e-117,1.2943592338415235e-81
5.062726397590301e-15,0.048764219312884285,1.2363649458708517e-12,4.963156381242242e-26,2.2273120896403186e-12,1.287051485223806e-109,1.2374700465987987e-12,0.938,2.3660052759956302e-56,9.930334306910154e-13,1.6032759093007376e-36,1.1051007269243919e-15,5.151502559126289e-11,0.0,0.0,0.03123977809967135,0.009999999999503484,0.04999999999777159,2.9229374374242093e-72,2.054968692732011e-73,0.00199999994724861,1.9717043134166102e-114,3.662620508158468e-81
7.565305590915658e-15,0.048764219312884285,1.8475181944334755e-12,1.1083644851403918e-25,3.328303787582336e-12,1.5133881888355898e-108,1.8491695625019036e-12,0.938,1.3354359905493048e-55,1.4839042777147842e-12,5.0536320467017765e-36,1.6513680653003341e-15,7.697952174740866e-11,0.0,0.0,0.031239778071391593,0.009999999999258049,0.04999999999667006,6.028642836207612e-69,1.4094337629584044e-72,0.0019999999211729605,2.578295528569423e-113,3.9944142057696085e-78
1.0067884784241015e-14,0.048764219312884285,2.458671507756894e-12,1.9631184016220306e-25,4.429294811233021e-12,1.4351332191035307e-107,2.460869143165692e-12,0.938,4.806524146389428e-55,1.974775123838644e-12,1.1490444752474038e-35,2.1976354018034413e-15,1.0244393240045989e-10,0.0,0.0,0.031239778043111923,0.009999999999012613,0.04999999999556853,1.6458954494211912e-68,5.901453703018864e-72,0.0019999998950973965,2.5329414756040858e-112,1.6217763160693441e-77
