Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45),N2X(46)
3.964897972376926e-18,0.07384695533935311,1.21037899503856e-15,0.938,0.0,0.0,0.04730850887931106,0.009999999999999641,0.04999999999987931,6.782005892782105e-83,3.656867951559322e-80,0.0019999999999938444,9.520889358266716e-127,1.3022304975897901e-103,1.2067978089828905e-13,1.1458483553497084e-63,7.187432466419955e-16,3.363467821648117e-41,1.8835625074604175e-17,4.964763948772647e-15,1.1915433699638763e-15,2.3307840182521e-29,1.1713451348782185e-119,9.435343826471076e-89,1.3137743058248928e-60,4.1484552294581456e-77,3.423450428346804e-83
4.9561224671123125e-18,0.07384695533935311,1.5129737443027987e-15,0.938,0.0,0.0,0.047308508879278864,0.009999999999999551,0.04999999999984913,1.1744929940427414e-82,1.0770049116100994e-79,0.0019999999999923052,5.136493685659354e-126,5.105927918900982e-103,1.5084972317459995e-13,2.994189547265112e-63,8.9842905859942e-16,6.123064682475233e-41,2.3544531351025614e-17,6.205954912274097e-15,1.4894292129516518e-15,3.560911348570061e-29,5.973164392700445e-119,3.3610103271531553e-88,3.432849281160897e-60,7.180199132786756e-77,6.282988417205027e-83
6.938571456583085e-18,0.07384695533935311,2.1181632428358673e-15,0.938,0.0,0.0,0.04730850887921447,0.00999999999999937,0.04999999999978878,1.441901517670776e-82,9.03960217090868e-79,0.001999999999989227,3.138325614814491e-124,1.1995868011903726e-101,2.111896039004929e-13,1.6752625064995576e-62,1.257800682513532e-15,1.616669681344618e-40,3.2962343903835223e-17,8.688336806415503e-15,2.085200898931799e-15,6.847506336298758e-29,1.9702632688506094e-117,4.822733662037076e-87,1.9203382215591947e-59,8.746671926098587e-77,1.375717640654981e-82
8.921020446053858e-18,0.07384695533935311,2.7233527413750243e-15,0.938,0.0,0.0,0.04730850887915008,0.00999999999999919,0.049999999999728435,6.062363183888928e-82,3.6941359696759294e-78,0.0019999999999861487,2.5606145425398577e-123,7.237857951391521e-101,2.7152947955184597e-13,5.538519709507744e-62,1.6171723064266668e-15,3.3517610973795333e-40,4.2380156456600724e-17,1.1170718656980008e-14,2.6809725849180407e-15,1.122989296294634e-28,1.375769141026989e-116,2.4086613775263175e-86,6.347920748978765e-59,3.695929339196513e-76,4.151071277474721e-82
1.2885918424995405e-17,0.07384695533935311,3.933731738471601e-15,0.938,0.0,0.0,0.04730850887902129,0.009999999999998831,0.04999999999960774,8.333631171335757e-81,3.871582406670826e-77,0.0019999999999799926,1.6423219484227634e-121,1.9391698579183113e-99,3.9220921563307385e-13,3.710202890317383e-61,2.3359155542500054e-15,1.0071073344064265e-39,6.12157815619994e-17,1.6135482227396698e-14,3.8725159569088075e-15,2.328157951591138e-28,5.16004896483126e-115,3.9243410634409763e-85,4.250762594927959e-58,5.060891105761222e-75,7.450897655040112e-81
2.0815714382878495e-17,0.07384695533935311,6.354489732737805e-15,0.938,0.0,0.0,0.04730850887876373,0.009999999999998113,0.04999999999936634,1.0933365759528016e-79,8.915702036253043e-76,0.00199999999996768,3.228383883253698e-119,1.4323364774104592e-97,6.33568626910106e-13,4.6209520999325874e-60,3.773402049884957e-15,4.3298792113976415e-39,9.888703177226744e-17,2.6065008845384893e-14,6.255602700963475e-15,6.053250531006749e-28,5.146850684177032e-113,1.4994533425259394e-83,5.289373204382683e-57,6.5376559503504e-74,1.8800386394355228e-79
3.667530629864468e-17,0.07384695533935311,1.1196005721562413e-14,0.938,0.0,0.0,0.04730850887824859,0.009999999999996675,0.04999999999888355,1.788104906975563e-78,3.3299869861073814e-74,0.0019999999999430547,1.2785751654899438e-116,1.8860670997961982e-95,1.1162872059245968e-12,8.826195640034409e-59,6.648375041107966e-15,2.438207616358214e-38,1.742295321906861e-16,4.5924059989998e-14,1.1021776189365332e-14,1.8762415155829897e-27,1.0224326346429648e-110,9.94715551267356e-82,1.0083759991629124e-55,1.0372031430472888e-72,5.9059088708375305e-78
6.839449013017706e-17,0.07384695533935311,2.087903770038042e-14,0.938,0.0,0.0,0.04730850887721832,0.0099999999999938,0.04999999999791796,3.021391485484511e-77,1.6164723747261044e-72,0.001999999999893804,7.831404075071319e-114,3.415929363122331e-93,2.0817233897970653e-12,2.159700381001221e-57,1.2398321023366393e-14,1.6190603606285718e-37,3.249145330190534e-16,8.564215391378011e-14,2.0554123167339133e-14,6.521665734384714e-27,3.1346958997161613e-108,9.03121970989111e-80,2.4580367900063163e-54,1.652775902545264e-71,1.8808773936446804e-76
1.3183285779324178e-16,0.07384695533935311,4.024510166269158e-14,0.938,0.0,0.0,0.047308508875157786,0.00999999999998805,0.049999999995986796,4.636634772968516e-77,9.034221899530691e-71,0.001999999999795303,7.971638060294987e-111,7.361305190155909e-91,4.0125918609252224e-12,6.056293607479255e-56,2.38982129871329e-14,1.1769967566225971e-36,6.262845346419024e-16,1.6507830829959803e-13,3.961881712796709e-14,2.4226886143415815e-26,1.5966869456240916e-105,9.741762413749032e-78,6.840823979377256e-53,2.083413285083311e-71,6.89346156505804e-76
2.5870959311937127e-16,0.07384695533935311,7.897722960601443e-14,0.938,0.0,0.0,0.04730850887103672,0.00999999999997655,0.04999999999212446,1.0388156849691744e-76,5.458810241063173e-69,0.001999999999598302,7.357279948050247e-108,1.7459910721234265e-88,7.874313216773974e-12,1.832873376734549e-54,4.689799691166456e-14,8.970157877391236e-36,1.2290245377520146e-15,3.239504832243639e-13,7.774820506794423e-14,9.329490075272786e-26,7.367258597639595e-103,1.1559070022618544e-75,2.0394828793410917e-51,3.5633973451854386e-71,2.5214660586787225e-75
3.8558632844550077e-16,0.07384695533935311,1.1770935757427114e-13,0.938,0.0,0.0,0.047308508866915684,0.00999999999996505,0.049999999988262156,1.2471041096322598e-74,3.741474416220343e-68,0.0019999999994013,9.602301881315811e-107,1.7007576550694542e-87,1.1736013790822593e-11,1.0339950808731734e-53,6.98977808321945e-14,2.810652491627962e-35,1.83176454068129e-15,4.828224796867768e-13,1.1587759303288283e-13,2.0723979503811984e-25,8.644744581147766e-102,9.770498370471075e-75,1.14318348531683e-50,5.128311107151828e-69,2.2746811098266294e-73
6.393397990977598e-16,0.07384695533935311,1.9517361358558522e-13,0.938,0.0,0.0,0.04730850885867367,0.009999999999942052,0.04999999998053761,2.765081992739879e-74,8.782626377554965e-67,0.001999999999007298,3.276229809802496e-104,1.378035046512373e-85,1.9459352594095418e-11,1.4197367002464258e-52,1.1589734866124973e-13,1.2802194612233067e-34,3.037244545996906e-15,8.005659372255845e-13,1.9213636903764302e-13,5.697610923105323e-25,1.6360943985323772e-99,4.5097778705666806e-73,1.5305122066940166e-49,6.860775354603559e-69,9.032993365135889e-73
8.675531314249866e-16,0.07384695533935311,2.648411376464983e-13,0.938,0.0,0.0,0.04730850885126128,0.009999999999921367,0.04999999997359061,1.018607396249009e-74,4.1113805977871744e-66,0.0019999999986529526,3.4637655222787554e-103,9.202022845752772e-85,2.6405270869414796e-11,5.6713731559856474e-52,1.5726708689351238e-13,3.0974803301424037e-34,4.121393693603822e-15,1.0863280920156795e-12,2.607197439493103e-13,1.049112269496413e-24,1.6583545396127506e-98,2.734940307283472e-72,6.050589051256235e-49,6.061823456494773e-70,5.0271561536062605e-73
1.0957664637522134e-15,0.07384695533935311,3.345086617880776e-13,0.938,0.0,0.0,0.047308508843848976,0.009999999999900682,0.04999999996664367,3.1090947557535356e-73,1.4359482591758329e-65,0.001999999998298608,2.111825068453503e-102,4.308881258439696e-84,3.3351121910589946e-11,1.6804939848389567e-51,1.9863682511282976e-13,6.122682963059667e-34,5.205542840624382e-15,1.3720896694250534e-12,3.293031189417319e-13,1.6736574309402522e-24,8.688658405795888e-98,1.0970429360205467e-71,1.7705345596785546e-48,9.369993222966206e-68,8.692123760119574e-72
1.3239797960794403e-15,0.07384695533935311,4.0417618601032205e-13,0.938,0.0,0.0,0.04730850883643672,0.009999999999879997,0.049999999959696804,8.18135619398575e-73,4.003473706707923e-65,0.0019999999979442634,1.063454196886764e-101,1.5646751691711162e-83,4.0296905718240405e-11,4.125096607674649e-51,2.400065633192024e-13,1.0653421750454859e-33,6.2896919870581305e-15,1.6578506694548175e-12,3.978864940149063e-13,2.4433975164525867e-24,4.1602380056781246e-97,3.6157768171713806e-71,4.298078436670875e-48,2.0081564875179352e-67,2.6919853447170483e-71
1.5521931284066671e-15,0.07384695533935311,4.738437103132306e-13,0.938,0.0,0.0,0.047308508829024536,0.009999999999859312,0.04999999995275001,1.5963867286995498e-72,9.618154668202818e-65,0.0019999999975899192,4.4175517351441175e-101,4.794933857607563e-83,4.72426222930121e-11,8.870017459744971e-51,2.8137630151263086e-13,1.6999986153530726e-33,7.373841132904593e-15,1.94361109210613e-12,4.664698691688316e-13,3.3583335059635856e-24,1.625374686583976e-96,1.0179081019834895e-70,9.142471910096212e-48,3.231783912338908e-67,5.860147512277431e-71
2.0086197930611206e-15,0.07384695533935311,6.131787591610357e-13,0.938,0.0,0.0,0.04730850881420037,0.009999999999817943,0.04999999993885661,3.511244964846119e-72,4.093372440966121e-64,0.001999999996881234,5.323209594427698e-100,3.2433822017858124e-82,6.113385374623647e-11,3.1188675330699215e-50,3.641157778606573e-13,3.6253786471260885e-33,9.542139422833944e-15,2.515130205277559e-12,6.036366197189305e-13,5.623796712624003e-24,1.6828928963485336e-95,5.884124694633726e-70,3.1465849715516953e-47,4.676574066005691e-67,1.5040445528325554e-70
2.4650464577155743e-15,0.07384695533935311,7.525138083314841e-13,0.938,0.0,0.0,0.04730850879937648,0.009999999999776573,0.04999999992496348,5.975039018256319e-72,1.2882595868085538e-63,0.0019999999961725504,3.143917867853132e-99,1.3975542058496707e-81,7.502481627542554e-11,8.473218221218974e-50,4.4685525415691373e-13,6.63641168150279e-33,1.171043771040864e-14,3.086647008948601e-12,7.408033705920161e-13,8.470054883205454e-24,9.048858892321793e-95,2.2364427384371142e-69,8.384561149869927e-47,6.315207460168862e-67,2.704713161113549e-70
2.921473122370028e-15,0.07384695533935311,8.918488578245665e-13,0.938,0.0,0.0,0.04730850878455286,0.009999999999735203,0.04999999991107062,1.0025283027791245e-71,3.3918794070255786e-63,0.001999999995463869,1.4273861344265096e-98,4.78473444474065e-81,8.891550988602928e-11,1.963336757253292e-49,5.295947304014053e-13,1.0994922141307034e-32,1.3878735995624657e-14,3.658161503129031e-12,8.779701217880749e-13,1.1897116286391705e-23,3.789769215694859e-94,6.867150504216253e-69,1.9061193237637694e-46,1.057073358146609e-66,4.540326906173919e-70
